<HTML>
<TITLE>University of Wyoming - Radiosonde Data</TITLE>
<BODY BGCOLOR="white">
<H2>72364 EPZ Santa Teresa Observations at 12Z 21 Jun 2024</H2>
<PRE>
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  318.0   9351  -25.4  -27.3     84   1.29    195     34  343.7  348.6  344.0
  310.0   9534  -26.8  -29.0     81   1.13    190     28  344.3  348.7  344.6
  302.0   9722  -28.1  -30.8     78   0.98    195     34  344.9  348.8  345.1
  300.0   9770  -28.5  -31.2     78   0.95    195     33  345.1  348.8  345.3
  284.0  10158  -31.2  -34.6     72   0.72    210     29  346.7  349.6  346.8
  280.0  10258  -31.9  -35.5     71   0.67    215     30  347.1  349.8  347.2
  263.0  10702  -35.0  -39.3     65   0.48    210     40  348.8  350.8  348.9
  251.0  11032  -37.3  -42.2     60   0.37    219     40  350.1  351.6  350.1
  250.0  11060  -37.7  -42.5     61   0.36    220     40  349.9  351.4  349.9
  247.0  11143  -38.3  -42.6     64   0.36    225     40  350.2  351.7  350.3
  243.0  11254  -39.1  -42.8     68   0.36    225     39  350.6  352.2  350.7
  241.0  11310  -39.5  -43.4     67   0.34    225     39  350.8  352.3  350.9
  238.0  11395  -40.2  -44.3     65   0.32    225     40  351.1  352.4  351.2
  235.0  11481  -40.8  -45.2     63   0.29    225     41  351.4  352.6  351.4
  232.0  11568  -41.5  -46.1     61   0.26    226     40  351.7  352.8  351.7
  223.0  11833  -44.0  -48.9     58   0.20    230     38  351.8  352.6  351.8
  220.0  11924  -44.9  -49.9     57   0.18    230     38  351.8  352.6  351.8
  216.0  12046  -45.9  -50.8     57   0.17    230     39  352.1  352.8  352.1
  214.0  12107  -46.5  -51.5     57   0.16    230     39  352.1  352.8  352.1
  212.0  12169  -47.1  -52.1     56   0.15    230     39  352.1  352.8  352.1
  208.0  12294  -48.0  -53.0     56   0.13    230     38  352.6  353.1  352.6
  202.0  12485  -49.5  -54.4     56   0.12    237     39  353.2  353.8  353.2
  200.0  12550  -49.9  -54.9     55   0.11    240     40  353.6  354.1  353.6
  189.0  12918  -52.9  -57.2     59   0.09    247     39  354.5  354.9  354.5
  184.0  13090  -54.4  -59.0     57   0.07    250     38  354.8  355.2  354.9
  181.0  13196  -55.3  -60.1     55   0.06    250     39  355.0  355.3  355.0
  176.0  13374  -56.9  -61.4     57   0.06    250     40  355.2  355.5  355.2
  172.0  13519  -57.7  -62.3     56   0.05    250     40  356.3  356.5  356.3
  169.0  13630  -58.5  -62.8     58   0.05    250     41  356.7  357.0  356.7
  164.0  13818  -60.1  -64.2     59   0.04    255     38  357.1  357.3  357.1
  161.0  13934  -61.1  -65.0     60   0.04    257     39  357.3  357.5  357.3
  152.0  14289  -63.9  -68.1     56   0.03    264     41  358.4  358.6  358.4
  151.0  14329  -64.1  -68.2     57   0.03    265     41  358.8  358.9  358.8
  150.0  14370  -64.3  -68.3     58   0.03    265     41  359.1  359.2  359.1
  148.0  14452  -64.7  -68.7     58   0.02    266     40  359.8  359.9  359.8
  145.0  14577  -65.7  -70.0     55   0.02    268     39  360.2  360.3  360.2
  141.0  14747  -66.6  -71.1     53   0.02    270     37  361.4  361.5  361.4
  139.0  14833  -67.1  -71.7     52   0.02    261     34  362.1  362.2  362.1
  130.0  15232  -69.8  -74.0     54   0.01    220     21  364.2  364.3  364.2
  122.0  15610  -72.4  -76.2     56   0.01    185     25  366.1  366.2  366.1
  120.0  15708  -73.1  -76.8     57   0.01    190     26  366.6  366.7  366.6
  118.0  15807  -73.5  -77.7     53   0.01    195     27  367.7  367.7  367.7
  117.0  15857  -73.0  -77.3     52   0.01    200     24  369.5  369.6  369.5
  113.0  16062  -70.9  -75.9     48   0.01    180     19  377.1  377.1  377.1
  108.0  16328  -72.2  -78.0     42   0.01    175     25  379.5  379.5  379.5
  106.0  16438  -72.8  -78.8     40   0.01    180     26  380.5  380.5  380.5
  100.0  16780  -74.5  -81.5     33   0.01    200     21  383.5  383.6  383.5
   98.6  16862  -74.7  -81.7     33   0.01    210     19  384.7  384.7  384.7
   96.0  17017  -73.7  -81.2     31   0.01    230     14  389.7  389.7  389.7
   94.2  17127  -72.9  -80.9     29   0.01    161      8  393.3  393.3  393.3
   93.0  17202  -72.6  -81.1     27   0.01    115      4  395.3  395.3  395.3
   92.0  17265  -72.4  -81.2     25   0.01    120      9  396.9  397.0  396.9
   91.6  17291  -72.3  -81.3     25   0.01    122      9  397.6  397.7  397.6
   90.0  17394  -72.5  -81.7     24   0.01    130      8  399.3  399.3  399.3
   89.0  17459  -72.6  -82.0     23   0.01    125      6  400.3  400.3  400.3
   88.0  17525  -72.7  -82.3     23   0.01    130     10  401.4  401.4  401.4
   86.0  17660  -73.0  -82.8     21   0.00    125     14  403.5  403.5  403.5
   85.0  17728  -73.1  -83.1     21   0.00    130     16  404.6  404.6  404.6
   83.0  17867  -73.5  -83.5     21   0.00    140     20  406.6  406.6  406.6
   80.8  18023  -73.9  -83.9     20   0.00    177     14  408.9  408.9  408.9
   78.0  18231  -72.4  -83.5     18   0.00    225      5  416.1  416.1  416.1
   76.0  18384  -71.3  -83.2     16   0.01    140      4  421.5  421.5  421.5
   74.0  18542  -70.2  -82.8     14   0.01     95      9  427.1  427.1  427.1
   71.0  18785  -68.4  -82.3     12   0.01    120     18  435.9  435.9  435.9
   70.8  18802  -68.3  -82.3     12   0.01    120     17  436.5  436.6  436.5
   70.0  18870  -68.3  -82.3     12   0.01    120     14  437.9  438.0  437.9
   69.0  18956  -68.1  -82.1     12   0.01     85     13  440.2  440.3  440.2
   68.0  19044  -67.8  -81.8     12   0.01     75     20  442.6  442.7  442.6
   67.0  19133  -67.6  -81.6     12   0.01     80     21  445.0  445.1  445.0
   66.7  19160  -67.5  -81.5     12   0.01     79     21  445.8  445.8  445.8
   65.3  19288  -67.7  -82.7     10   0.01     76     23  448.0  448.1  448.0
   63.0  19504  -67.1  -83.0      9   0.01     70     25  454.0  454.1  454.0
   62.0  19601  -66.8  -83.1      8   0.01     75     27  456.7  456.8  456.7
   61.0  19699  -66.5  -83.2      8   0.01     80     21  459.5  459.5  459.5
   60.3  19768  -66.3  -83.3      8   0.01     77     20  461.5  461.5  461.5
   60.0  19799  -66.2  -83.2      8   0.01     75     19  462.3  462.3  462.3
   58.8  19921  -65.9  -82.9      8   0.01     81     25  465.7  465.7  465.7
   58.0  20004  -65.9  -82.9      8   0.01     85     29  467.5  467.6  467.5
   57.0  20110  -65.9  -82.9      8   0.01     85     23  469.9  469.9  469.9
   56.8  20131  -65.9  -82.9      8   0.01     84     23  470.3  470.4  470.3
   56.0  20218  -65.6  -82.9      7   0.01     80     25  473.0  473.1  473.0
   54.0  20440  -64.7  -82.9      7   0.01     95     31  479.9  480.0  479.9
   52.0  20670  -63.8  -82.9      6   0.01    115     26  487.2  487.2  487.2
   51.0  20789  -63.4  -82.9      5   0.01    120     32  490.9  491.0  490.9
   50.0  20910  -62.9  -82.9      5   0.01    120     30  494.8  494.9  494.8
   48.0  21162  -62.5  -83.2      5   0.01    120     23  501.6  501.7  501.6
   47.2  21265  -62.3  -83.3      4   0.01    120     20  504.5  504.6  504.5
   47.0  21292  -62.3  -83.3      4   0.01    120     19  505.0  505.1  505.0
   45.1  21546  -62.7  -83.7      4   0.01    126     27  510.1  510.2  510.1
   44.0  21700  -62.2  -83.8      4   0.01    130     32  515.0  515.1  515.0
   43.0  21842  -61.7  -84.0      4   0.01    130     29  519.6  519.7  519.6
   41.0  22138  -60.7  -84.2      3   0.01    100      9  529.2  529.3  529.2
   40.0  22291  -60.1  -84.3      3   0.01     80     13  534.3  534.4  534.3
   39.0  22449  -59.6  -84.5      3   0.01     70     23  539.5  539.6  539.5
   38.8  22481  -59.5  -84.5      3   0.01     70     24  540.6  540.7  540.6
   38.0  22611  -59.6  -84.6      3   0.01     70     27  543.7  543.7  543.7
   37.0  22778  -59.7  -84.7      3   0.01     85     25  547.6  547.7  547.6
   36.6  22846  -59.7  -84.7      3   0.01     81     27  549.2  549.3  549.2
   36.0  22950  -59.4  -84.6      2   0.01     75     30  552.6  552.7  552.6
   35.0  23128  -58.9  -84.5      2   0.01     80     42  558.5  558.6  558.5
   33.0  23499  -57.7  -84.3      2   0.01     95     38  570.9  571.0  570.9
   31.0  23893  -56.5  -84.0      2   0.01    105     40  584.5  584.5  584.5
   30.0  24100  -55.9  -83.9      2   0.01    105     34  591.6  591.8  591.7
   29.3  24251  -55.1  -83.1      2   0.01     98     35  597.9  598.0  597.9
   29.0  24317  -54.8  -82.8      2   0.01     95     36  600.4  600.6  600.4
   28.0  24543  -53.8  -81.8      2   0.02    105     38  609.3  609.4  609.3
   27.0  24777  -52.8  -80.8      2   0.02    105     34  618.5  618.8  618.5
   26.2  24970  -51.9  -79.9      2   0.03     93     33  626.3  626.6  626.3
   26.0  25020  -51.8  -79.8      2   0.03     90     33  628.0  628.2  628.0
   25.0  25275  -51.3  -79.3      2   0.03    100     26  636.5  636.7  636.5
   24.0  25541  -50.8  -78.8      2   0.03     90     29  645.4  645.7  645.4
   23.8  25595  -50.7  -78.7      2   0.03     93     31  647.2  647.6  647.3
   23.0  25818  -51.0  -78.3      3   0.04    105     37  652.8  653.1  652.8
   22.7  25903  -51.1  -78.1      3   0.04    104     35  654.9  655.3  654.9
   22.6  25932  -51.1  -78.1      3   0.04    103     34  655.7  656.1  655.7
   22.0  26107  -50.8  -78.3      2   0.04    100     30  661.6  662.0  661.6
   21.3  26318  -50.5  -78.5      2   0.04     93     37  668.7  669.1  668.7
   21.0  26411  -50.3  -78.3      2   0.04     90     40  672.1  672.6  672.2
   20.1  26697  -49.5  -77.5      2   0.05     77     41  682.9  683.4  682.9
   20.0  26730  -49.5  -77.5      2   0.05     75     41  683.9  684.4  683.9
   19.5  26895  -49.5  -77.5      2   0.05     77     42  688.9  689.4  688.9
   19.0  27065  -49.4  -77.4      2   0.05     80     44  694.4  695.0  694.5
   18.8  27134  -49.3  -77.3      2   0.05     82     45  696.7  697.3  696.7
   18.0  27419  -49.0  -77.0      2   0.06     90     48  706.5  707.2  706.6
   17.9  27455  -48.9  -76.9      2   0.06     90     47  707.8  708.4  707.8
   17.6  27566  -48.9  -76.9      2   0.06     92     44  711.2  711.9  711.3
   17.0  27795  -48.3  -76.5      2   0.07     95     39  720.4  721.1  720.4
   16.0  28194  -47.1  -75.8      2   0.08    100     42  736.6  737.5  736.7
   15.3  28489  -46.3  -75.3      2   0.09     86     42  748.9  749.9  748.9
   15.0  28621  -45.9  -74.9      2   0.10     80     42  754.3  755.4  754.4
   14.0  29081  -44.6  -73.6      2   0.13     75     44  773.7  775.2  773.8
   13.0  29576  -43.2  -72.2      3   0.17     75     44  795.1  797.0  795.2
   12.9  29628  -43.1  -72.1      3   0.17     76     45  797.4  799.3  797.4
   12.0  30115  -41.8  -70.8      3   0.23     85     56  818.6  821.2  818.7
   11.8  30229  -41.5  -70.5      3   0.24     85     55  823.6  826.4  823.7
   11.0  30705  -39.9  -68.9      3   0.32     85     50  846.1  849.9  846.3
   10.0  31360  -36.3  -67.3      3   0.45    100     62  882.9  888.3  883.1
    9.8  31501  -34.9  -65.9      3   0.55     99     61  893.2  900.0  893.5
    9.0  32100  -32.1  -64.1      3   0.77     95     59  926.0  935.7  926.4
    8.0  32931  -33.2  -64.0      3   0.88    100     42  953.4  964.8  953.9
    7.4  33480  -33.9  -63.9      3   0.96     94     34  972.0  984.6  972.5
    7.0  33870  -34.9  -63.9      4   1.01     90     29  983.4  996.9  984.0
    6.0  34934  -39.2  -65.5      4   0.95     75     23 1009.0 1022.1 1009.6
    5.9  35050  -39.7  -65.7      5   0.94     76     26 1011.8 1024.8 1012.4
    5.8  35167  -39.7  -65.7      5   0.96     78     29 1016.8 1030.1 1017.3
    5.0  36190  -35.9  -64.9      3   1.24     90     55 1078.1 1096.3 1078.9
    4.8  36474  -34.9  -63.9      4   1.48               1095.3 1117.3 1096.3
    4.7  36621  -35.5  -64.5      4   1.39               1099.1 1120.0 1100.1
</PRE><H3>Station information and sounding indices</H3><PRE>
                         Station identifier: EPZ
                             Station number: 72364
                           Observation time: 240621/1200
                           Station latitude: 31.86
                          Station longitude: -106.70
                          Station elevation: 1252.0
                            Showalter index: -0.78
                               Lifted index: -0.78
    LIFT computed using virtual temperature: -0.93
                                SWEAT index: 250.42
                                    K index: 36.40
                         Cross totals index: 20.40
                      Vertical totals index: 24.70
                        Totals totals index: 45.10
      Convective Available Potential Energy: 24.56
             CAPE using virtual temperature: 39.36
                      Convective Inhibition: -162.13
             CINS using virtual temperature: -138.95
                           Equilibrum Level: 473.49
 Equilibrum Level using virtual temperature: 451.22
                   Level of Free Convection: 569.94
             LFCT using virtual temperature: 576.02
                     Bulk Richardson Number: 0.99
          Bulk Richardson Number using CAPV: 1.58
  Temp [K] of the Lifted Condensation Level: 287.72
Pres [hPa] of the Lifted Condensation Level: 794.72
   Equivalent potential temp [K] of the LCL: 347.58
     Mean mixed layer potential temperature: 307.26
              Mean mixed layer mixing ratio: 13.31
              1000 hPa to 500 hPa thickness: 5828.00
Precipitable water [mm] for entire sounding: 40.20
</PRE>
<P>Description of the 
<A HREF="/upperair/columns.html">data columns</A>
or <A HREF="/upperair/indices.html">sounding indices</A>.

<P>
<FORM>
<INPUT CLASS="button" TYPE="button" VALUE=" Close this window " 
 onClick="window.close();">
<INPUT CLASS="button" TYPE="button" VALUE=" Select another map " 
 onClick="window.blur();">
</FORM>
<HR SIZE="1">
<I>Interested in graduate studies in atmospheric science?
Check out our program at the
<a href="http://www.uwyo.edu/atsc/howtoapply/"
target=_top>University of Wyoming
</a></I>
<HR SIZE="1"><FONT SIZE="-1">
Questions about the weather data provided by this site can be
addressed to <A HREF="mailto:ldoolman@uwyo.edu">
Larry Oolman (ldoolman@uwyo.edu)</A></FONT>
<HR SIZE="1">
<SCRIPT TYPE="text/javascript">
<!--
window.focus();
// -->
</SCRIPT>
</BODY>
</HTML>
